RefDes;Name;Pattern;X (mm);Y (mm);Side;Rotate;Value
R7;RES_0402_2k5_1%;0402;-24,131;63,523;Top;90;2k5_1%
R8;RES_0603_100R_1%;0603;-14,616;54,658;Top;90;100R_1%
R9;RES_0402_470R_1%;0402;-17,814;32,515;Top;270;470R_1%
R10;RES_0603_470R_1%;0603;14,454;31,524;Top;180;470R_1%
R11;RES_0402_2k5_1%;0402;0,449;52,497;Top;0;2k5_1%
R12;RES_0402_2k5_1%;0402;0,931;44,422;Top;90;2k5_1%
R13;RES_0402_100k_1%;0402;3,29;44,428;Top;180;100k_1%
S1;EVQPLMA15 momentary switch;Panasonic EVQPLMA15 Tactile switch;-25,546;31,452;Top;270;RESET
S2;SPST miniature;C&K Switch;2,867;48,697;Top;0;
SENS;0603 LED Orange;Kingbright 0603 LED KPT-1608SURCK;-3,095;33,007;Top;270;601nm
SHIELD;Weidmuller SL 2P Vertical;Weidmuller SL 3.5/2/180G ORANGE 2P;-62,583;122,567;Top;180;1x2 Vertical
SPI;Pin header 2x4P;HDR-2x4T/2.54x2.54/10x5;12,664;24,571;Top;0;2x4
U1;MAX3232;SOIC-16/150mil;-36,695;69,022;Top;90;RS232
U2;MAX3232;SOIC-16/150mil;-36,695;31,24;Top;90;RS232
U3;PIC24FJ128GB204 TQFP;TQFP44;-12,464;42,116;Top;0;
U4;BD90c0AFPS;TO252-3V/9.6x6.6x2.3;-34,668;12,252;Top;270;1A/9V
I2C_SENSOR_BOARD;I2C Sensor board DV Double;I2C Sensor DV Double;29,666;64,458;Top;270;
U6;OKI-78SR-5;Murata OKI-78SR-E;25,662;33,103;Top;90;1.5A/5V
U7;MCP1703;MCP1703-3302E/DB LDO;10,62;38,137;Top;180;250mA/3.3v 
U8;MCP1703;MCP1703-3302E/DB LDO;-24,377;18,076;Top;180;250mA/3.3v 
U9;Solder jumper 3p narrow;Solder Jumper 3P;-14,449;64,305;Top;90;
U10I2C;MCP1703;MCP1703-3302E/DB LDO;-3,906;63,14;Top;180;250mA/3.3v 
Y1;32k768 SMD XTAL;XTAL_3.2x1.5;-5,388;49,137;Top;315;32k768
